the art.(定冠词)这，那
would aux. v.将；愿；总是
choose vt.选择，挑选；情愿
these a.&pron.这些
following a.接着的；下列的
say vt.说；说明；比如说
write vt.书写；写vi.写
world n.世界；世人；世间
good a.好的；有本事的
young a.年轻的n.青年们
then ad.当时；然后；那么
conversation n.会话，非正式会谈
school n.学校；学院；学派
study n.学习，研究vt.学
get vi.变得，成为；到达
could aux. v.(can的过去式)
use vt.用；耗费n.用
also ad.亦，也；而且，还
home n.家；家乡a.家庭的
author n.作者，作家
health n.健康，健康状况
help vt.帮助；援助n.帮手
less a.更少的ad.更少地
now ad.现在；立刻；于是
even a.均匀的；平的
bank n.银行；库；岩，堤
living a.活的n.生活，生计
must v. aux.必须；必然要
too ad.也，还；太，过分
paragraph n.(文章的)段，节
over prep.在…上方；超过
end n.末端；目标vt.结束
think vt.想；想要；认为
take vt.拿；抓；拿走；吃
change n.改变，变化；零钱
first num.第一ad.最初
while conj.当…的时候；而
better a.较好的ad.更好地
read vt.读，看懂vi.读
often ad.经常，常常
find vt.找到；发觉；找出
before prep.在…以前；向…
learn vi.&vt.学，学习
any a.什么，一些；任何的
found vt.创立，创办；建立
question n.发问；问题；疑问
long vi.渴望，极想念
own a.自己的vt.有，拥有
high a.高的；高级的ad.高
become vi.变成；成为，变得
job n.职业；工作；零活
might n.力量，威力，能力
being n.存在；生物；生命
business n.商业，生意；事务
choice n.选择，抉择
such a.这样的；如此的…
need vt.需要v. aux.需要
same a.同一的，相同的
well ad.好；完全地int.嘿
because conj.由于，因为
different a.差异的；各种的
likely a.可能的ad.很可能
still a.静止的n.寂静
my pron.我的
word n.词；话；消息；语言
very ad.很；完全a.真的
want vt.要n.需要；缺乏
little a.小的；少；幼小的
public a.公众的n.公众
where ad.在哪里pron.哪里
important a.重要的；有势力的
why ad.为什么
something pron.某事，某物
learning n.学习；学问，知识
company n.公司，商号；同伴
bit n.一点，一些，小片
success n.成功，成就，胜利
see vt.看见；遇见；看出
number n.数，数字；号码
ten num.十，十个
around prep.在…周围
recent a.新近的，最近的
off ad.(离)开；(停)止
experience n.经验，感受；经历
go vi.去；走；变为
every a.每一的；每隔…的
comprehension n.理解，理解力；领悟
whether conj.是否
day n.(一)天，白昼，白天
education n.教育；训导；教育学
future n.将来，未来；前途
brain n.脑，脑髓；脑力
between prep.在…中间
least a.最少的ad.最少
down ad.向下，在下面
feel vi.有知觉vt.触，摸
social a.社会的；社交的
big a.大的，巨大的
age n.年龄；时代vt.变老
college n.学院；大学
family n.家，家庭；家族
come vi.来，来到；出现
play vi.玩，游戏；演奏
early ad.早a.早的，早期的
ability n.能力；能耐，本领
however ad.然而；不管怎样
person n.人；人身；本人
back ad.在后；回原处；回
used a.旧的；习惯于…的
human a.人的，人类的n.人
give vt.做，作；送给
themselves pron.他们自己
sense n.感官；感觉；见识
live vi.居住；活a.活的
water n.水vt.使湿，灌溉
access n.接近；通道，入口
improve vt.使更好vi.改善
leave vi.离去vt.离开
reading n.读，阅读；读书
hard a.硬的；困难的
year n.年；年年
mental a.智力的；精神的
among prep.在…之中
digital a.数字的，计数的
university n.大学，综合性大学
keep vi.保持；坚持
another a.再一个的；别的
actually ad.实际上；竟然
poor a.贫穷的；贫乏的
list n.表，目录n.列举
past a.过去的n.过去
pay vt.支付；付给；给予
eat vt.吃，喝vi.吃饭
him pron.(宾格)他
growth n.增长；增长量；生长
lot n.许多，大量；签，阄
technology n.工艺学，工艺，技术
local a.地方的；局部的
example n.例子，实例；模范
care vi.关心，介意n.小心
real a.真的；现实的
writing n.书写，写；著作
student n.学生；研究生，学者
means n.方法，手段，工具
quality n.质量；品质，特性
put vt.放，摆；使处于
problem n.问题；习题，问题
since conj.从…以来；因为
percent n.百分之…
identify vt.认出，识别，鉴定
know vt.知道；认识；通晓
memory n.记忆；回忆；存储
car n.汽车，小汽车，轿车
rather ad.宁可，宁愿；相当
great a.大的；伟大的
possible a.可能的；可能存在的
old a.老的；…岁的
believe vt.相信；认为
development n.发展；开发；生长
healthy a.健康的；有益健康的
without prep.无，没有，不
stress n.压力；重音vt.着重
look vi.看，显得n.看
increase vt.&vi.&n.增加
place n.地方，地点；住所
building n.建筑物，大楼；建筑
item n.条，条款；一条
top n.顶；首位a.顶的
difficult a.困难的；难对付的
effect n.结果；效果，效力
group n.小组，群vi.聚集
disease n.病，疾病；病害
share n.份；份额；股份
attention n.注意，留心；注意力
few a.很少的；少数的
process n.过程；工序vt.加工
small a.小的，少的；小型的
please vt.使高兴，请vi.满意
half n.半，一半a.一半的
academic a.学院的；学术的
decide vt.决定，决心；解决
national a.民族的；国家的
body n.身体；主体；尸体
translation n.翻译；译文，译本
cost n.价格，代价；成本
turn vt.转；翻vi.转动
me pron.(宾格)我
science n.科学，科学研究
state vt.陈述，说明，阐明
energy n.活力；精力；能
buy vt.买，购买vi.买
statement n.陈述，声明
avoid vt.避免，躲开；撤消
really ad.真正地；实在
try vt.试；审问vi.尝试
start vi.跳起；出发；开始
popular a.民众的；流行的
under prep.在…下面；低于.
finding n.发现；调查的结果
yet ad.还；已经conj.而
open a.开的；开放的vt.开
successful a.成功的，结果良好的
show vt.给…看；表明
program n.节目单；大纲；程序
career n.生涯，职业，经历
government n.政府；治理；政治
teaching n.教学，讲授；教导
industry n.工业，产业；勤劳
across prep.横过；在…对面
market n.市场；集市；销路
able a.有能力的；出色的
far a.远的ad.远，遥远
interesting a.有趣的，引人入胜的
last vi.持续，持久；耐久
instead ad.代替，顶替；反而
solar a.太阳的，日光的
security n.安全，安全感
select vt.&vi.选择，挑选
blank a.空白的n.空白
performance n.履行；演出；行为
easy a.容易的；安逸的
especially ad.特别，尤其，格外
large a.大的；巨大的
away ad.离开，远离；…去
poverty n.贫穷，贫困
formula n.公式，式
century n.世纪，百年
control vt.控制，克制n.控制
idea n.想法；思想；意见
matter n.事情；物质vi.要紧
remember vt.记得，想起；记住
weight n.重；砝码；重担
lead n.铅，铅制品
culture n.文化，文明；教养
clear a.清晰的vt.清除
provide vt.提供；装备，供给
million num.百万n.许多
survey vt.俯瞰；检查；测量
traditional a.传统的，惯例的
phone n.电话，电话机；耳机
during prep.在…期间
lack vi.&vi.&n.缺乏，不足
amount n.总数；数量；和
grade vt.给…分等级n.等级
point n.点；要点；细目；分
enough a.足够的ad.足够地
spend vt.用钱，花费；度过
understand vt.懂；获悉vi.懂得
financial a.财政的，金融的
support vt.支撑；支持；供养
personal a.个人的；本人的
right a.正确的ad.对，正好
professor n.教授
art n.艺术，美术；技术
form n.形式；形状vt.形成
sleep n.睡眠vi.睡vt.睡
language n.语言，语言课程
against prep.倚在；逆，对着
simply ad.简单地；朴素地
offer vt.提供；提出n.提供
bad a.坏的，恶的；严重的
set vt.放；安置vi.落
sugar n.糖
increasingly ad.日益，越来越多地
kind a.友好的；和蔼的
several a.几个，数个
stay vi.停留；住n.逗留
task n.任务，工作，作业
current a.当前的；通用的
enjoy vt.享受；欣赏，喜爱
grain n.谷物，谷粒；颗粒
today ad.在今天；现在
interest n.兴趣；利益；利息
height n.高，高度；高处
woman n.妇女，女人，女性
space n.空间；场地；空白
focus vi.聚焦，注视n.焦点
quite ad.完全；相当；的确
thought n.思想；思维；想法
cause n.原因，理由；事业
almost ad.几乎，差不多
record n.记录；履历vt.记录
week n.星期，周
next a.紧接的；贴近的
course n.课程；过程；一道菜
house n.房屋，住宅；商号
potential a.潜在的n.潜力
yes ad.是，是的
feeling n.感情；感觉，知觉
cook vt.烹调，煮vt.烧菜
essay n.短文，散文，小品文
order n.次序；整齐vt.命令
ask vt.问；要求；邀请
value n.价值；价格vt.评价
effort n.努力；努力的成果
later ad.后来；过一会儿
certain a.确实的；肯定的
impact n.影响，作用；冲击
advice n.劝告；忠告；意见
create vt.创造；引起，产生
always ad.总是，一直；永远
free a.自由的；空闲的
fact n.事实；实际，实情
meal n.膳食，一餐
ancient a.古代的，古老的
anything pron.任何事物；一切
fish n.鱼，鱼肉vi.钓鱼
safety n.安全，保险
various a.各种各样的，不同的
ago ad.以前
data n.数据;资料
computer n.计算机，电脑
animal n.动物，兽a.动物的
learned a.有学问的；学术上的
intelligence n.智力；理解力；情报
never ad.永不，决不；不
consider vt.认为；考虑；关心
achieve vt.完成，实现；达到
ever ad.在任何时候；曾经
mean a.平均的n.平均值
view n.看；视力；风景
tend vi.走向，趋向；倾向
simple a.简单的；朴素的
economic a.经济的，经济学的
bring vt.带来；引出；促使
blood n.血，血液；血统
close vt.关，闭；结束
thing n.物；用品；事；情况
city n.城市，都市
develop vt.发展；形成；开发
partner n.伙伴；搭挡；配偶
district n.区；地区，区域
male a.男的，雄的n.男子
visit vt.&n.访问，参观
message n.信息，消息；启示
rate n.比率；速度；价格
again ad.又一次；而且
consumption n.消耗量；消耗
desire vt.相望；要求n.愿望
average n.平均数a.平均的
true a.真的；忠实的
pain n.痛，疼痛；辛苦
white a.白的n.白色
famous a.著名的，出名的
environment n.环境，外界；围绕
knowledge n.知识，学识；知道
full a.满的；完全的
activity n.活动；活力；行动
positive a.确定的；积极的
common a.普通的；共同的
similar a.相似的，类似的
childhood n.童年，幼年；早期
generally ad.一般地；通常地
within prep.在…里面
speed n.快；速率vi.快行
whole a.完整的n.全部
overall n.工装裤a.全面的
save vt.救；节省；储蓄
voice n.说话声；意见；语态
praise n.赞扬，赞美vi.赞扬
reality n.现实；真实
training n.训练，锻炼，培养
communication n.通讯；传达；交通
mind n.头脑；理智；记忆
significant n.有意义的；重要的
effective a.有效的；有影响的
debate n.&vi.争论，辩论
rise vi.起立；升起；上涨
pressure n.压力；压力；压，按
balance vt.使平衡；称n.天平
case n.箱(子)，盒(子)，套
community n.社区；社会；公社
sometimes ad.不时，有时
reason n.理由；理性vi.推理
daily a.每日的n.日报
tell vt.讲述；吩咐；辨别
seem vi.好像，似乎
medicine n.内服药；医学
relationship n.关系，联系
though conj.虽然ad.可是
opportunity n.机会，良机
sure a.确信的；确实的
society n.社会；团体；社交界
nearly ad.差不多；密切地
short a.短的；短期的
office n.办公室；处，局，社
child n.小孩，儿童；儿子
man n.男人；人；人类
weather n.天气
air n.空气；空中；外观
scientific a.科学(上)的
race n.人种，种族，民族
explain vt.解释；为…辩解
soon ad.不久；早，快
seek vt.寻找，探索；试图
strong a.强壮的；擅长的
teach vt.讲；教育vt.教书
situation n.位置；处境；形势
progress n.前进，进展；进步
toward (s) prep.向；对于；接近
fall vi.落下；跌倒；陷落
succeed vt.继…之后vi.成功
fashion n.样子，方式；风尚
turning n.旋转；变向；转弯处
video a.电视的n.电视
previous a.先的；前的ad.在前
majority n.多数，大多数
rich a.富的，丰富的
complete a.完整的；完成的
available a.可利用的；通用的
happy a.快乐的；幸福的
essential a.必要的，本质的
talk vi.讲话vt.谈论
late a.迟的ad.迟，晚
interaction n.相互作用；干扰
dinner n.正餐，主餐；宴会
break vt.打破；损坏；破坏
role n.角色，作用，任务
service n.服务；行政部门
level n.水平面a.水平的
prepare vt.&vi.准备，预备
critical a.决定性的；批评的
book n.书，书籍vt.预定
benefit n.利益；恩惠；津贴
until prep&conj.直到…为止
due a.预期的；应给的
middle n.中部a.中部的
left a.左边的ad.在左边
function n.功能；职务；函数
together ad.共同，一起
everything pron.每件事，事事
solve vt.解答，解释，解决
basic a.基本的，基础的
goal n.球门；得分；目的
sign n.符号；招牌n.签名
instance n.例子，实例，事例
grow vi.生长；变得；增长
failure n.失败；失败的人
salt n.盐；盐类vt.加盐于
reduce vt.减少，减小；简化
loss n.遗失；损失；失败
major a.较大的n.专业
understanding n.理解；理解力；协定
team n.队，组
already ad.早已，已经
fast a.快的；偏快的ad.快
crisis n.危机；存亡之际
exercise n.锻炼，训练vi.练习
type n.型，类型vi.打字
post n.岗位，哨所；职位
economy n.经济；节约，节省
main a.主要的，最重要的
price n.价格，价钱；代价
trend vi.伸向；倾向n.倾向
usually ad.通常
medical a.医学的；内科的
worth a.值…的n.价值
ninth num.第九；九分之一
income n.收入；收益；进款
narrow a.狭的，狭窄的
pollution n.污染
kitchen n.厨房，灶间
organization n.组织；团体，机构
history n.历史；个人经历
heat n.热，炎热vi.变热
picture n.画，图片vt.画
beyond prep.在…的那边
hand n.手；人手；指针
affect vt.影响；感动
born a.天生的；出生的
despite prep.不管，不顾
either pron.(两者)任何一个
recently ad.最近，新近
content a.满意的，满足的
cope vi.对付，应付
image n.像；形象；映象
difference n.差别；差；分歧
expect vt.预料，预期；等待
someone pron.某人，有人
degree n.程度；度；学位
prize n.奖赏，奖金vt.珍视
five num.五，五个，第五
specific a.特有的；具体的
power n.能力；力；权；幂
necessary a.必要的；必然的
happiness n.幸福，幸运；快乐
series n.连续，系列；丛书
emotional a.感情的，情绪的
itself pron.它自己；自身
chance n.机会，机遇；可能性
adult n.成年人a.成年的
satisfaction n.满意；快事；赔偿
prove vt.证明vi.结果是
code n.准则；法典；代码
concern n.关心，挂念；关系
leadership n.领导
card n.卡，卡片，名片
deep a.深的；纵深的
promote vt.促进，发扬；提升
population n.人口；全体居民
risk n.风险，危险，冒险
nothing n.没有东西ad.毫不
third num.第三；三分之一
wrong a.错误的ad.错，不对
yourself pron.你自己；你亲自
field n.田野；田；运动场
class n.班，班级；阶级
ambition n.雄心，抱负，野心
coffee n.咖啡，咖啡茶
fit vt.适合；安装vi.适合
textbook n.课本，教科书
summer n.夏，夏季
speech n.言语；演说；方言
production n.生产；产品；总产量
modern a.现代的，近代的
natural a.自然界的；天然的
land n.陆地；土地vi.上岸
married a.已婚的；婚姻的
ocean n.海洋；洋
continue vt.继续，连续；延伸
behavior n.行为，举止，态度
general a.总的；一般的n.将军
determine vt.决定；查明；决心
beginning n.开始，开端；起源
strategy n.战略；策略
negative a.否定的；消极的
produce vt.生产；产生；展现
outside n.外部；外表a.外部的
key n.钥匙；键；答案
silver n.银；银子；银器
practice n.实践；练习；业务
issue n.问题；发行vt.发行
journal n.日报，杂志；日志
particularly ad.特别，尤其，格外
lower a.较低的vt.放下
female n.雌性的动物；女子
sport n.运动；运动会
along prep.沿着ad.向前
competition n.竞争，比赛
engage vt.使从事于；聘用
stop vt.塞住；阻止；停
staff n.工作人员；参谋
craft n.工艺；手艺，行业
relatively ad.相对地，比较地
herself pron.她自己；她亲自
importance n.重要；重要性
drive vt.驾驶；打入；驱
evidence n.根据；证据，证人
begin vi.开始vt.开始
credit n.信用贷款；信用
design vt.设计n.设计；图样
meet vt.遇见vi.相遇
contact vt.使接触；与…联系
include vt.包括，包含
plan n.&vt.计划，打算
suggest vt.建议；暗示，启发
purpose n.目的；意图；效果
impossible a.不可能的，办不到的
harm n.伤害，损害vt.损害
whatever pron.无论什么
dream n.梦；梦想vi.做梦
serious a.严肃的；认真的
unique a.唯一的，独一无二的
cold a.冷的；冷淡的n.冷
material n.材料；素材a.物质的
quickly ad.快，迅速
watch vt.&vi.观看n.手表
ordinary a.平常的；平凡的
tobacco n.烟草，烟叶
smart a.巧妙的；洒脱的
difficulty a.困难；难事；困境
test n.&vt.试验；检验
love vt.爱，喜欢n.爱
influence n.影响；势力vt.影响
extremely ad.极端，极其，非常
sort n.种类；类别vt.整理
demand vt.要求；需要；询问
perfect a.完美的；完全的
follow vt.跟随；结果是
decision n.决定，决心；果断
further ad.更远地a.更远的
game n.游戏；比赛；猎物
concept n.概念，观念，设想
fail vi.失败；失灵；不能
afford vt.担负得起…；提供
equal a.相等的；平等的
perhaps ad.也许，可能，多半
friend n.朋友，友人
alone a.单独的ad.单独地
threat n.威胁，恐吓，凶兆
paper n.纸；官方文件；文章
investment n.投资，投资额，投入
unable a.不能的，不会的
second n.秒
supply vt.&n.供给，供应
fresh a.新的；新鲜的
prevent vt.预防，防止；阻止
although conj.尽管，虽然
shape n.形状；情况vt.形成
golden a.金色的；极好的
definition n.定义，释义；定界
special a.特殊的；专门的
meaning n.意义，意思；意图
story n.故事，小说，传说
creative a.创造性的，创作的
ensure vt.保证；保护；赋予
shopping n.买东西，购物
furniture n.家具；装置，设备
camera n.照相机，摄影机
executive a.执行的n.执行者
skill n.技能，技巧；熟练
mobile a.运动的；流动的
experiment n.实验；试验
daughter n.女儿
beauty n.美，美丽；美人
climate n.气候；风土，地带
explore vt.&vi.探险，探索
hold vt.拿住；掌握；拥有
call vt.把…叫做；叫，喊
addition n.加，加法；附加物
regard vt.把…看作；尊敬
low a.低的，矮的；低下的
talent n.天才；才能；人才
whose pron.谁的；哪个人的
action n.行动；作用；功能
sell vt.&vi.卖，销售
inside prep.在…里面n.内部
deal n.买卖；待遇vt.给予
cotton n.棉；棉线；棉布
step n.(脚)步；步骤vi.走
standard n.标准a.标准的
act vi.行动；见效n.行为
country n.国家，国土；农村
factor n.因素；因子，系数
billion num.万亿(英)
fun n.乐趣，娱乐；玩笑
shift vt.替换，转移n.转换
everyone pron.每人，人人
easily ad.容易地；舒适的
here ad.这里；向这里
per prep.每
teacher n.教师，老师，先生
happen vi.发生；碰巧，恰好
willing a.愿意的，心甘情愿的
travel vi.&vi.&n.旅行
near ad.近，接近a.近的
room n.房间；地位；余地
comfortable a.舒适的，安慰的
check vt.检查；制止n.检查
else ad.其它，另外a.别的
feed vt.喂(养) vi.吃饲料
cash n.现金，现款
huge a.巨大的，庞大的
military a.军事的；军人的
condition n.状况，状态；环境
policy n.政策，方针
wisdom n.智慧，才智；名言
behind prep.在…后面
front a.前面的n.前部
road n.路，道路，公路
appeal vi.&n.呼吁；申述
television n.电视；电视机
knit vt.把…编结vi.编织
ahead ad.在前；向前；提前
advanced a.先进的；高级的
rare a.稀薄的；稀有的
snake n.蛇
store n.贮藏；贮存品；商店
probably ad.或许，大概
egg n.蛋，鸡蛋，卵
welfare n.幸福，福利
build vt.建筑；建立；创立
diverse a.不一样的，相异的
employer n.雇佣者，雇主
chase n.追逐，追赶，追求
suppose vt.猜想；假定；让
upon prep.在…上；在…旁
completely ad.十分，完全地
interview n.接见；会见；面谈
raise vt.举起；引起；提高
allow vt.允许，准许；任
source n.河的源头；根源
remains n.残余，余额；废墟
gap n.缺口；间隔；差距
instruction n.命令；教学；教训
therefore ad.因此，所以
taste vt.尝；尝到n.味觉
portion n.一部分；一分
firm n.商行，商号，公司
adapt vt.使适应；改编
hunger n.饿，饥饿；渴望
vast a.巨大的；大量的
maintain vt.维持；赡养；维修
law n.法律，法令；法则
name n.名字；名誉vt.说出
individual a.个别的；独特的
appear vi.出现；来到；似乎
anyone pron.任何人
closely ad.紧密地，接近地
reward n.报答；报酬vt.报答
light a.轻的，少量的
challenge n.挑战；要求，需要
send vt.送，寄发；派遣
boss n.老板，上司vt.指挥
complicated a.复杂的，难懂的
search vt.在…中搜寻，搜查
necessarily ad.必然，必定
run vi.跑，奔；行驶；流
table n.桌子；餐桌；项目表
reach vt.抵达；伸出vi.达到
sophisticated a.老于世故的；高级的
unusual a.不平常的；独特的
normal a.正常的，普通的
psychological a.心理的，心理学的
handle n.柄，把手vt.拿，触
capacity n.容量；能力；能量
traffic n.交通，通行；交通量
powerful a.强有力的；有权威的
useful a.有用的，有益的
leading a.指导的；最主要的
limited a.有限的
project n.方案，工程vi.伸出
gain vt.获得；增加n.增进
slow a.慢的；迟钝的
connect vt.连接，连结；联系
reliable a.可靠的，可信赖的
reflect vt.反射；反映；思考
worry vt.使烦恼vi.发愁
busy a.忙的，繁忙的
regularly ad.有规律地
treat vt.对待；处理n.款待
damage vt.损害，毁坏n.损害
equality n.等同，平等；相等
forget vt.忘记，遗忘
definitely ad.一定地，明确地
death n.死，死亡；灭亡
black a.黑色的；黑暗的
color n.颜色，彩色；颜料
scale n.标度；比例；大小
grant n.授给物vt.授予
venture n.&vi.冒险vt.敢于
train vt.培养n.列车；队列
tradition n.传统，惯例
transportation n.运输，运送，客运
chief a.主要的；首席的
temperature n.温度；体温
surface n.地面，表面；外表
secret a.秘密的；隐蔽的
particular a.特殊的；特定的
belief n.信任，相信；信念
subject n.题目；学科；主语
achievement n.完成；成就，成绩
welcome int.&n.&vt.欢迎
apply vt.应用，实施，使用
hope n.&vt.&vi.希望
drink vt.饮vi.喝n.饮料
cut vt.切，割，剪；减少
alternative n.替换物；取舍，抉择
approach vt.向…靠近n.靠近
heart n.心，内心；勇气
mass n.众多；团；群众
international a.国际的，世界(性)的
institute n.研究所；学院
professional a.职业的n.专业人员
below prep.在…下面(以下)
match n.(一根)火柴
receive vt.收到；得到；接待
employee n.受雇者，雇员，雇工
thus ad.如此，这样；因而
flexible a.易弯曲的；灵活的
seven num.七，七个(人或物)
sound n.声音vi.响，发声
familiar a.熟悉的；冒昧的
pretty a.漂亮的，标致的
brand n.商品；烙印vt.铭刻
maybe ad.大概，或许；也许
novel n.小说a.新的
heavy a.重的；大的；充满的
manager n.经理，管理人
ready a.准备好的；愿意的
detail n.细节；枝节；零件
costly a.昂贵的；价值高的
certainly ad.一定，必定；当然
north n.北，北方a.北方的
hair n.头发，毛发；毛
private a.私人的；私下的
expensive a.昂贵的，花钱多的
cat n.猫，猫科，猫皮
dangerous a.危险的，不安全的
exactly ad.确切地；恰恰正是
everyday a.每天的，日常的
active a.活跃的；积极的
establish vt.建立，设立；确立
entire a.全部的，整个的
safe n.保险箱
highly ad.高度地，很，非常
anxiety n.焦虑，忧虑；渴望
meeting n.聚集，会合，会见
saving n.搭救；节约；存款
throughout prep.遍及ad.到处
gradually ad.逐渐地，逐步地
luxury n.奢侈，奢华；奢侈品
pursuit n.追赶；追求；事务
ourselves pron.我们自己
deed n.行为；功绩；契约
greatly ad.大大地，非常
wealthy a.富的，富裕的
night n.夜，夜间
helpful a.给予帮助的；有用的
audience n.听众，观众，读者
carry vt.携带；运载；传送
queen n.王后；女王
party n.党，党派；聚会
vacation n.假期，休假
green a.绿色的n.绿色
beach n.海滩，湖滩，河滩
decade n.十年，十年期
productive a.生产的；丰饶的
red a.红色的n.红色
habit n.习惯；习性
remain vi.剩下，余留；保持
realize vt.实现；认识到
campus n.校园，学校场地
beer n.啤酒
china n.瓷器，瓷料
claim vt.声称，主张；索取
six num.六，六个
confidence n.信任；信赖；信
wild a.野生的；野蛮的
fruit n.水果；果实；成果
maths n.(英)数学
topic n.题目，论题，话题
missing a.缺掉的，失去的
obvious a.明显的，显而易见的
milk n.乳，牛奶vt.挤(奶)
wallet n.钱包，皮夹子
proposal n.提议，建议；求婚
tooth n.牙齿
enable vt.使能够，使可能
immediately ad.立即；直接地
attack vt.&vi.&n.攻击，进攻
advise vt.劝告；建议；通知
shock n.冲击；震惊vi.震动
police n.警察；警察当局
primary a.最初的；基本的
nature n.大自然；本性；性质
sea n.海，海洋
contribute vt.捐献，捐助；投稿
agree vi.同意；持相同意见
product n.产品，产物；(乘)积
quick a.快的；敏捷的
differ vi.不同，相异
lifetime n.一生，终身
roughly ad.粗糙地，粗略地
federal a.联邦的；联盟的
widespread a.分布广的，普遍的
generation n.一代，一代人；产生
percentage n.百分比，百分率
snow n.雪vi.下雪
board n.板vt.上(船、车等)
opposite a.对面的n.对立物
classroom n.教室，课堂
imply vt.暗示，意指
date n.日期vt.注…日期
prefer vt.宁可，宁愿
express vt.表示n.快车，快递
protection n.保护，警戒
protein n.蛋白质，朊
department n.部，司，局，处，系
efficiency n.效率；功效，效能
fear n.害怕；担心vt.害怕
facility n.设备；容易；便利
let vt.允许，让；使
nobody pron.谁也不；无人
status n.地位，身分
worse a.更坏的ad.更坏
town n.镇，市镇，城镇
lunch n.午餐，(美)便餐
examine vt.检查，仔细观察
expectation n.期待，期望，预期
airport n.机场，航空站
management n.管理；经营，处理
plastic a.可塑的n.塑料
civilization n.文明，文化；开化
political a.政治的，政治上的
indeed ad.真正地；确实
harvest n.收获，收成vt.收割
expand vt.扩大；使膨胀
spread vt.伸开；传播n.传播
eight num.八，八个，第八
distribution n.分发，分配；分布
partly ad.部分地，不完全地
aid n.帮助，救护；助手
head n.头；上端vt.率领
vision n.视；想象力；梦幻
relevant a.有关的，贴切的
rule n.统治；规定；习惯
master n.主人；能手；硕士
contemporary a.当代的，同时代的
hurt vt.使受伤；使痛心
advance vi.前进；提高n.进展
stand vi.站；坐落n.架，台
variety n.多样化；种类；变种
joy n.欢乐，喜悦；乐事
routine n.例行公事a.日常的
attend vt.出席；照顾，护理
birthday n.生日，诞生的日期
join vt.参加；连接
eager a.渴望的，热切的
west n.西；西洋a.西方的
foreign a.外国的；外来的
mainly ad.主要地，大体上
text n.原文，本文；课文
hobby n.业余爱好，癖好
park n.公园；停车场
miss vt.未看到；惦念
rent n.租金，租vi.出租
stable n.厩，马厩，牛棚
academy n.私立中学；专科院校
enormous a.巨大的，庞大的
imagine vt.想象，设想；料想
employment n.工业；雇用；使用
invest vt.投资；投入
emphasis n.强调，重点，重要性
pull vt.拉，拖；拉，拉力
director n.指导者；理事；导演
shop n.商店，店铺；车间
grocery n.食品杂货店
treatment n.待遇；治疗，疗法
range n.排，行；山脉；范围
appearance n.出现，来到；外观
hill n.小山，山岗；丘陵
romantic a.浪漫的；传奇的
efficient a.效率高的，有能力的
household n.家庭，户；家务
satisfy vt.满足；使满意
curiosity n.好奇，好奇心；珍品
island n.岛，岛屿
shut vt.关上，闭上，关闭
border n.边，边缘；边界
device n.器械，装置；设计
abroad ad.(在)国外；到处
boy n.男孩，少年；家伙
truck n.卡车，载重汽车
extra a.额外的ad.特别地
square n.正方形；广场
era n.时代，年代；纪元
depth n.深度；深厚；深处
investigate vt.&vi.调查
basis n.基础，根据
helpless a.无助的；无能的
skilled a.有技能的，熟练的
dramatic a.引人注目的，戏剧的
feedback n.回授，反馈，反应
machine n.机器；机械
overcome vt.战胜，克服
